unit_id,target,scale_factor,mae,rmse,smape
0,target_export,0.25,344.4308776855469,465.53029238170956,90.00480651855469
0,target_import,0.25,145.0594024658203,169.18074076819443,55.918365478515625
3,target_export,0.25,65.57103729248047,98.74682055799316,108.14202880859375
3,target_import,0.25,126.91299438476562,194.3134046296086,23.370508193969727
6,target_export,0.25,11.714335441589355,17.061363322085462,66.69219207763672
6,target_import,0.25,2.232999086380005,2.801688117951785,38.207740783691406
30,target_export,0.25,192.8548126220703,324.8040154269956,91.64923095703125
30,target_import,0.25,162.79515075683594,201.17634521732418,26.669206619262695
60,target_export,0.25,171.5691680908203,263.17943320575034,98.59253692626953
60,target_import,0.25,150.4004669189453,228.1855484715235,49.98405075073242
0,target_export,0.5,260.927978515625,395.3184831563027,87.86910247802734
0,target_import,0.5,91.47843170166016,117.9652193180261,30.75786590576172
3,target_export,0.5,49.15592575073242,86.83757062398165,113.10162353515625
3,target_import,0.5,120.6256332397461,195.68953608011338,21.15921974182129
6,target_export,0.5,10.785327911376953,15.906441857880253,67.94438934326172
6,target_import,0.5,1.9456027746200562,2.478923742964151,27.775447845458984
30,target_export,0.5,240.9866180419922,362.8721150419249,105.59395599365234
30,target_import,0.5,112.72916412353516,163.67727989285808,17.65093994140625
60,target_export,0.5,153.98390197753906,262.2282521964405,115.22528076171875
60,target_import,0.5,130.1210174560547,213.86768507362208,44.53932189941406
0,target_export,1.0,189.04273986816406,299.5838389541398,59.87155532836914
0,target_import,1.0,147.14060974121094,174.9203836749737,42.8463020324707
3,target_export,1.0,45.129638671875,96.38999559082882,93.97477722167969
3,target_import,1.0,107.39739990234375,169.3877589751544,19.58613395690918
6,target_export,1.0,7.145252227783203,10.63769634348028,44.244590759277344
6,target_import,1.0,2.6068780422210693,3.2974252829137654,31.67860221862793
30,target_export,1.0,163.8697052001953,262.6113603073942,89.55772399902344
30,target_import,1.0,108.8299560546875,155.80972971865395,18.121061325073242
60,target_export,1.0,124.83626556396484,217.97684796785185,104.24629211425781
60,target_import,1.0,103.27262115478516,169.11731435788886,40.0443115234375
0,target_export,2.0,657.2337036132812,773.5177357371969,104.94522094726562
0,target_import,2.0,172.4888916015625,203.35419761465462,60.161380767822266
3,target_export,2.0,103.47257232666016,141.18126092899158,126.9891357421875
3,target_import,2.0,116.15299224853516,147.15649222214086,21.804237365722656
6,target_export,2.0,21.426666259765625,25.402565701879038,93.8345718383789
6,target_import,2.0,2.20613169670105,2.628102603413227,30.95722198486328
30,target_export,2.0,386.8684997558594,502.77888716114563,126.44123840332031
30,target_import,2.0,98.43560028076172,129.70188926197258,16.45022964477539
60,target_export,2.0,251.8802947998047,333.9986316401611,117.95050811767578
60,target_import,2.0,113.99555206298828,139.4146454264221,49.61079788208008
0,target_export,4.0,902.4856567382812,1248.027093055275,132.3519287109375
0,target_import,4.0,240.34791564941406,276.6008942275856,70.49966430664062
3,target_export,4.0,121.30742645263672,177.85249440371928,139.89633178710938
3,target_import,4.0,118.8968505859375,154.7892216047358,22.3410587310791
6,target_export,4.0,30.14342498779297,40.959197792303776,118.88665008544922
6,target_import,4.0,2.881394624710083,3.4436573715352834,38.591026306152344
30,target_export,4.0,428.1823425292969,597.952234714446,134.0978240966797
30,target_import,4.0,100.24069213867188,143.882649394828,16.266971588134766
60,target_export,4.0,298.80682373046875,427.73670347539735,130.91909790039062
60,target_import,4.0,122.4163818359375,154.7996941615196,51.640350341796875
