model,target,mae,rmse,smape,mape
Persistence,target_export,420.5672491440406,634.8026029771314,159.47435701810397,315114.7765343299
Persistence,target_import,136.45399518379799,172.2899967491856,60.46612416780912,511.01711243849536
Seasonal Naive,target_export,238.28403406509986,372.98193763107474,94.0475346491887,40172.70581846971
Seasonal Naive,target_import,102.53743166740124,145.06171536764992,39.88390896136944,311.4111010331374
TTM2 zero-shot (L2),target_export,202.32609521425687,302.89431747733624,106.38702251727764,3896300.9636900094
TTM2 zero-shot (L2),target_import,107.72814150590163,141.61137131721975,46.161758320148174,354.60614119309645
FlowState r1.0 ctx512,target_export,201.94030638107887,312.2388825757331,103.33619777972882,1625103.315616725
FlowState r1.0 ctx512,target_import,90.07730154074156,126.78665805232468,38.94392129457914,298.94320370600775
FlowState r1.0 ctx2048,target_export,181.7131533402663,282.82600277338014,99.55866605318509,1680581.1710556617
FlowState r1.0 ctx2048,target_import,92.36295164181637,128.8131691725763,39.60996293288011,297.17344985375036
FlowState r1.1 ctx4096,target_export,183.6340270776015,282.67806516583875,94.15423801128681,405067.25960951584
FlowState r1.1 ctx4096,target_import,98.06717641170208,136.06297658011312,39.872325985248274,346.14292699373686
